Dimension,Metric
googleAdsKeyword,userConversionRate
googleAdsKeyword,sessions
googleAdsKeyword,bounceRate
pageReferrer,activeUsers
pageReferrer,addToCarts
pageReferrer,averagePurchaseRevenue
pageReferrer,averagePurchaseRevenuePerPayingUser
pageReferrer,averagePurchaseRevenuePerUser
pageReferrer,averageRevenuePerUser
pageReferrer,averageSessionDuration
pageReferrer,cartToViewRate
pageReferrer,checkouts
pageReferrer,conversions
pageReferrer,newUsers
pageReferrer,totalRevenue
pageReferrer,totalUsers
pageReferrer,transactions
pageReferrer,userConversionRate
pageReferrer,userEngagementDuration
pageReferrer,sessions
pageReferrer,bounceRate
platform,activeUsers
platform,addToCarts
platform,averagePurchaseRevenue
platform,averagePurchaseRevenuePerPayingUser
platform,averagePurchaseRevenuePerUser
platform,averageRevenuePerUser
platform,averageSessionDuration
platform,cartToViewRate
platform,checkouts
platform,conversions
platform,newUsers
platform,totalRevenue
platform,totalUsers
platform,transactions
platform,userConversionRate
platform,userEngagementDuration
platform,sessions
platform,bounceRate
Region,activeUsers
Region,addToCarts
Region,averagePurchaseRevenue
Region,averagePurchaseRevenuePerPayingUser
Region,averagePurchaseRevenuePerUser
Region,averageRevenuePerUser
Region,averageSessionDuration
Region,cartToViewRate
Region,checkouts
Region,conversions
Region,newUsers
Region,totalRevenue
Region,totalUsers
Region,transactions
Region,userConversionRate
Region,userEngagementDuration
Region,sessions
Region,bounceRate
Source,activeUsers
Source,advertiserAdClicks
Source,advertiserAdCost
Source,advertiserAdCostPerClick
Source,advertiserAdCostPerConversion
Source,advertiserAdImpressions
Source,averagePurchaseRevenuePerPayingUser
Source,averagePurchaseRevenuePerUser
Source,averageRevenuePerUser
Source,cartToViewRate
Source,conversions
Source,returnOnAdSpend
Source,totalRevenue
Source,totalUsers
Source,userConversionRate
Source,sessions
Source,bounceRate
userAgeBracket,activeUsers
userAgeBracket,addToCarts
userAgeBracket,averagePurchaseRevenue
userAgeBracket,averagePurchaseRevenuePerPayingUser
userAgeBracket,averagePurchaseRevenuePerUser
userAgeBracket,averageRevenuePerUser
userAgeBracket,averageSessionDuration
userAgeBracket,cartToViewRate
userAgeBracket,checkouts
userAgeBracket,conversions
userAgeBracket,newUsers
userAgeBracket,totalRevenue
userAgeBracket,totalUsers
userAgeBracket,transactions
userAgeBracket,userConversionRate
userAgeBracket,userEngagementDuration
userAgeBracket,sessions
userAgeBracket,bounceRate
userGender,activeUsers
userGender,addToCarts
userGender,averagePurchaseRevenue
userGender,averagePurchaseRevenuePerPayingUser
userGender,averagePurchaseRevenuePerUser
userGender,averageRevenuePerUser
userGender,averageSessionDuration
